id,name,trusted,open_vacancies
2575,"Бэнкс Софт Системс",1,1
2583,"ДОХОДЪ, Инвестиционная Компания",1,1
2612,"FAVORIT MOTORS",1,1
2624,Velikan,1,1
2671,"СНС, Группа Компаний",1,4
2692,"International SOS",1,1
2703,"АЛВИСА",1,2
2746,"ДИКСИ, группа компаний",1,4
2748,"Ростелеком",1,11
2765,ManpowerGroup,1,3
2800,"Медиагруппа «Актион-МЦФЭР»",1,1
2808,"Открытые Технологии",1,9
2888,DSSL,1,1
3127,"МегаФон",1,2
3146,"Чайковский текстиль",1,1
3148,"СИТИЛИНК",1,1
3152,Cbonds.ru,1,1
3162,"Металлинвестбанк",1,1
3177,"Первый Бит",1,7
3280,"ТехноНИКОЛЬ",1,6
3344,"Группа ЛСР",1,1
3411,"Русфинанс Банк (Societe Generale Group)",1,1
3427,"Сибирская Хлебная Корпорация",1,1
3443,"Банк ДОМ.РФ",1,1
3484,"СОВременные ТЕХнологии, ГК",1,1
3486,"Hearst Shkulev Media и ИнтерМедиаГруп, Группа компаний",1,1
3529,"Сбербанк",1,4
3530,"СДЭК",1,6
3551,"Ювенко",1,1
3592,"Снежная Королева",1,2
3654,Rumex,1,1
3682,Mercury,1,1
3710,"Кордиант",1,1
3722,"Мерседес-Бенц РУС",1,1
3726,"ВЕРНА, Страховое общество",1,1
3775,"Бизнес-парк «Текстильщики»",1,1
3776,"МТС",1,10
3778,"ИнфоТеКС",1,1
3838,"Компания ПЭК",1,1
3885,"Федеральная антимонопольная служба",1,1
3968,"Уральская горно-металлургическая компания",1,1
3978,"Взлет, ГК",1,1
4005,"TWIGA Communication Group",1,2
4073,"Т Плюс",1,1
4108,Unilever,1,1
4128,"Майтиколл Рус",1,1
4131,"Авилон Автомобильная Группа",1,8
4161,"Группа компаний «Триумф»",1,1
4246,"ЧИП и ДИП",1,1
4352,"Почта России",1,2
4496,"МТС Банк",1,15
4559,"Стройкомплект",1,1
4620,"ГЛОРИЯ ДЖИНС",1,1
4717,"Посейдон",1,1
4729,"Эверис, Представительство",1,1
4824,"МОНТ",1,1
4872,"ТЕХНОСЕРВ",1,21
4880,"Детский Мир",1,2
4925,"Kelly Services",1,2
4934,"Билайн",1,6
4949,"Procter & Gamble",1,22
5009,ACTEON,1,2
5084,"МКПЦ, Аудиторская фирма",1,1
5184,"НИКАМЕД",1,1
5301,"Лудинг",1,1
5402,"НЕОЛАНТ",1,3
5599,"Лаборатория Гемотест",1,2
5660,"VICIUNAI Group",1,2
5694,"Комус",1,1
5957,"Магнит Фарма",1,4
6093,"ИНВИТРО",1,2
6376,"1С-СофтКлаб",1,1
6457,"Бронницкий Ювелир",1,1
7118,"Фортуна",1,2
7248,"Робин Сдобин, Торгово-производственная компания",1,1
7371,"Pony Express",1,2
7428,"Астон, группа компаний",1,1
7452,"РТСофт",1,1
7465,Rendez-Vous,1,2
7602,"ФинТех",1,2
7788,"СИМБАТ",1,1
7851,"Риалвеб, Интернет-агентство",1,2
7866,"Интердентос",1,1
7944,"Совкомбанк",1,3
7961,"Строительная компания ФЛАН - М",1,1
8063,"Курьер Сервис Экспресс",1,1
8100,"САМСОН, ГРУППА КОМПАНИЙ",1,7
8155,"Цезарь Сателлит, Москва",1,3
8219,"Центр компьютерного обучения СПЕЦИАЛИСТ при МГТУ им. Н.Э.Баумана",1,2
8944,"ИнтэлЛекс",1,2
8966,"IT Capital",1,1
9081,"АМТ-ГРУП",1,1
9094,"IT Expert",1,5
9139,"МЦ-Сервис Инжиниринг",1,1
9225,"ДИИП 2000",1,1
9281,JetBrains,1,11
9595,"Звезда",1,1
9616,"КДВ Групп",1,3
9849,"Social Discovery Ventures",1,1
9855,"Русмарин",1,1
9889,"Арконт",1,1
10160,"CSI (Кристалл Сервис Интеграция)",1,1
10295,"Фитнес-клубы X-FIT",1,1
10332,"Developer Soft",1,2
10422,"Роза Хутор",1,1
10866,"Квадриум",1,1
11109,"МК «Воронежский»",1,1
11420,"АНАЛИТИКА",1,1
12034,"Межрегиональный ТранзитТелеком (ОАО МТТ)",1,1
12349,"Компания А25",1,1
12504,"Сфера",1,1
12550,"Группа компаний ПИК",1,6
12872,"Компания Арнест",1,2
12917,"Останкинский мясоперерабатывающий холдинг",1,1
13157,"Алкогольная Сибирская группа",1,1
13819,"Катрен НПК",1,3
14072,"Kalinka - Realty",1,1
14104,"Люмэкс",1,1
14809,"Бизнес Технологии",1,4
15034,"ИОН — НOУ-ХАУ",1,1
15250,"Уголь-Транс",1,1
15400,"ПКФ СБВ",1,1
15589,HFLabs,1,2
15848,"Нэфис Косметикс",1,2
15909,"Курский электроаппаратный завод",1,1
16390,"ФБ Консалт",1,3
16962,"САТУРН - строительные материалы",1,1
17222,"МГТС",1,1
17488,"ЛАБИРИНТ",1,2
17713,"ЮТэйр, Авиакомпания",1,1
17866,"МСН Телеком",1,2
17954,"1С:ВДГБ",1,1
18071,Decathlon,1,3
18212,KAN,1,1
18239,SUNLIGHT,1,1
18475,"КантриКом",1,1
18880,"АДЕПТ, Группа компаний",1,1
18901,"Градиент",1,1
19788,"СТОУН-XXI",1,1
19989,"ЕВРАЗ",1,1
20189,"Сады Придонья",1,1
20741,"ОЛЕНТА, ТОРГОВО-ПРОИЗВОДСТВЕННАЯ ГРУППА",1,1
20820,QBIX,1,1
20859,"АТЛЕТИКА, Кладовая Здоровья",1,1
20986,"АЛИДИ, Группа компаний",1,8
21371,"Тануки, японский ресторан",1,1
21416,"Photo Lab",1,1
21863,"Ярославские краски",1,1
22004,"iDex Group",1,1
22216,"Никс",1,2
22386,"КЭЛС-центр",1,1
23377,"ИСС Арт (ISS Art)",1,2
23563,"Евросиб",1,1
23596,"Human Capital",1,1
23632,ArrowMedia,1,1
23772,"Россети Урал",1,1
23777,"Торговый Отдел Посольства Республики Корея",1,2
24068,netPrint.ru,1,1
24217,"Глобал Трак Сервис",1,1
24283,"Информтехника",1,2
24446,"Старт",1,1
24460,"Очкарик, интернет-магазин и салоны оптики",1,3
24761,ForteBank,1,3
24947,"АСТ",1,1
24958,"Северное Кадровое Агентство",1,2
25022,ProfiStaff,1,1
25331,"Ассоциация Галерея Чижова",1,1
25780,"«АНТ» ГРУППА КОМПАНИЙ",1,1
26450,"Профиндустрия-Центр",1,2
27735,"Экостандарт",1,1
28118,"Баусервис",1,4
28236,"Ай Ти Скан",1,1
28275,B2B-Center,1,2
28435,"Группа компаний БТК",1,1
28608,CDC,1,1
29204,"Metal Expert, Информационно – аналитическое агентство",0,1
29838,"Райффайзен Банк Аваль",1,1
30099,"Сити Ресторантс",1,3
30151,"ЭТМ, компания",1,2
30637,"Л'Этуаль",1,4
30858,"АБН",1,1
31594,NetUP,1,1
32487,"Фактор-ТС",1,1
32501,"Монетка, Торговая сеть",1,1
34086,"Гамма",1,3
35059,"Медицинский центр XXI век (21 век)",1,1
35431,TRINET,1,4
35784,"Миррико, Группа Компаний",1,1
36282,"Люди Дела",1,1
36760,"Деловая Русь, Группа компаний",1,1
37151,"ФОРА-БАНК, АКБ",1,1
37171,"Русская медная компания",1,1
37224,"Майер",1,1
37318,"Crocus Group",1,1
37415,"РУБЛЬ БУМ, ГК",1,1
37476,"Минимакс",1,1
37623,"Diamond Personnel R&C",1,4
38351,Diakont,1,1
38826,QTECH,1,1
39245,"Ю-МЕТ",1,1
39491,"21 Век, группа компаний",1,4
