geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3687952,ru,SA,"Южная Америка",CO,"Колумбия",ANT,"","","","Кальдас","",America/Bogota,0
3690316,ru,SA,"Южная Америка",CO,"Колумбия",CAS,"","","","","",America/Bogota,0
3696150,ru,SA,"Южная Америка",PE,"Перу",CAJ,"","","","Хаэн","",America/Lima,0
3734327,ru,SA,"Южная Америка",CO,"Колумбия",GUV,"","","","","",America/Bogota,0
3783696,ru,SA,"Южная Америка",CO,"Колумбия",COR,"","","","","",America/Bogota,0
3832719,ru,SA,"Южная Америка",AR,"Аргентина",X,"","","","","",America/Argentina/Cordoba,0
3834665,ru,SA,"Южная Америка",AR,"Аргентина",X,"","","","","",America/Argentina/Cordoba,0
3841150,ru,SA,"Южная Америка",AR,"Аргентина",S,"","","","","",America/Argentina/Cordoba,0
3848216,ru,SA,"Южная Америка",AR,"Аргентина",Q,"","","","","",America/Argentina/Salta,0
3864285,ru,SA,"Южная Америка",AR,"Аргентина",L,"","","","","",America/Argentina/Salta,0
3883262,ru,SA,"Южная Америка",CL,"Чили",ML,"","","","","",America/Santiago,0
3888011,ru,SA,"Южная Америка",CL,"Чили",VS,"","","","Ихуэлас","",America/Santiago,0
3888214,ru,SA,"Южная Америка",CL,"Чили",VS,"","","","","",America/Santiago,0
3899629,ru,SA,"Южная Америка",CL,"Чили",AR,"","","","Анголь","",America/Santiago,0
3936455,ru,SA,"Южная Америка",PE,"Перу",PUN,"Пуно","","","","",America/Lima,0
3938323,ru,SA,"Южная Америка",PE,"Перу",ICA,"Ика","","","","",America/Lima,0
3970630,ru,NA,"Северная Америка",MX,"Мексика",SON,"Сонора","","","","",America/Hermosillo,0
3982567,ru,NA,"Северная Америка",MX,"Мексика",JAL,"","","","","",America/Mexico_City,0
3988214,ru,NA,"Северная Америка",MX,"Мексика",GUA,"","","","Саламанка","",America/Mexico_City,0
3994469,ru,NA,"Северная Америка",MX,"Мексика",CHH,"Чиуауа","","","","",America/Ojinaga,0
4005143,ru,NA,"Северная Америка",MX,"Мексика",SON,"Сонора","","","Гуаймас","",America/Hermosillo,0
4016086,ru,NA,"Северная Америка",MX,"Мексика",AGU,"Агуаскальентес","","","","",America/Mexico_City,0
4065665,ru,NA,"Северная Америка",US,"США",AL,"Алабама","","","",691,America/Chicago,0
4066844,ru,NA,"Северная Америка",US,"США",AL,"Алабама","","","",575,America/Chicago,0
4077143,ru,NA,"Северная Америка",US,"США",AL,"Алабама","","","",630,America/Chicago,0
4081696,ru,NA,"Северная Америка",US,"США",AL,"Алабама","","","",686,America/Chicago,0
4146537,ru,NA,"Северная Америка",US,"США",FL,"Флорида","","","",686,America/Chicago,0
4151366,ru,NA,"Северная Америка",US,"США",FL,"Флорида","","","",571,America/New_York,0
4169171,ru,NA,"Северная Америка",US,"США",FL,"Флорида","","","",548,America/New_York,0
4185863,ru,NA,"Северная Америка",US,"США",GA,"Джорджия","","","",525,America/New_York,0
4198514,ru,NA,"Северная Америка",US,"США",GA,"Джорджия","","","",520,America/New_York,0
4200671,ru,NA,"Северная Америка",US,"США",GA,"Джорджия","","","",507,America/New_York,0
4207676,ru,NA,"Северная Америка",US,"США",GA,"Джорджия","","","Мэнсфилд",524,America/New_York,0
4219374,ru,NA,"Северная Америка",US,"США",GA,"Джорджия","","","",575,America/New_York,0
4226552,ru,NA,"Северная Америка",US,"США",GA,"Джорджия","","","",525,America/New_York,0
4232568,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",649,America/Chicago,0
4245926,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",609,America/Chicago,0
4246180,ru,NA,"Северная Америка",US,"США",IL,"Иллинойс","","","",609,America/Chicago,0
4266067,ru,NA,"Северная Америка",US,"США",IN,"Индиана","","","",529,America/Kentucky/Louisville,0
4268183,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","",605,America/Chicago,0
4270444,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","",722,America/Chicago,0
4270876,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","",678,America/Chicago,0
4271131,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","Эри",603,America/Chicago,0
4279034,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","",722,America/Chicago,0
4281063,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","",678,America/Chicago,0
4281717,ru,NA,"Северная Америка",US,"США",KS,"Канзас","","","",605,America/Chicago,0
4282411,ru,NA,"Северная Америка",US,"США",KY,"Кентуки","","","",659,America/Chicago,0
4283110,ru,NA,"Северная Америка",US,"США",KY,"Кентуки","","","",564,America/New_York,0
4297148,ru,NA,"Северная Америка",US,"США",KY,"Кентуки","","","",541,America/Chicago,0
4300339,ru,NA,"Северная Америка",US,"США",KY,"Кентуки","","","",541,America/New_York,0
4308063,ru,NA,"Северная Америка",US,"США",KY,"Кентуки","","","",541,America/New_York,0
4330740,ru,NA,"Северная Америка",US,"США",LA,"Луизиана","","","",644,America/Chicago,0
4350053,ru,NA,"Северная Америка",US,"США",MD,"Мэриленд","","","",511,America/New_York,0
4370890,ru,NA,"Северная Америка",US,"США",MD,"Мэриленд","","","",511,America/New_York,0
4383202,ru,NA,"Северная Америка",US,"США",MO,"Миссури","","","",619,America/Chicago,0
4387496,ru,NA,"Северная Америка",US,"США",MO,"Миссури","","","",604,America/Chicago,0
4409195,ru,NA,"Северная Америка",US,"США",MO,"Миссури","","","",616,America/Chicago,0
4418819,ru,NA,"Северная Америка",US,"США",MS,"Миссисипи","","","",673,America/Chicago,0
4446548,ru,NA,"Северная Америка",US,"США",MS,"Миссисипи","","","",710,America/Chicago,0
4471629,ru,NA,"Северная Америка",US,"США",NC,"Северная Каролина","","","",545,America/New_York,0
4484559,ru,NA,"Северная Америка",US,"США",NC,"Северная Каролина","","","",567,America/New_York,0
4514438,ru,NA,"Северная Америка",US,"США",OH,"Огайо","","","",542,America/New_York,0
4531370,ru,NA,"Северная Америка",US,"США",OK,"Оклахома","","","",671,America/Chicago,0
4539283,ru,NA,"Северная Америка",US,"США",OK,"Оклахома","","","",627,America/Chicago,0
4548267,ru,NA,"Северная Америка",US,"США",OK,"Оклахома","","","",650,America/Chicago,0
4552910,ru,NA,"Северная Америка",US,"США",OK,"Оклахома","","","",623,America/Chicago,0
4554649,ru,NA,"Северная Америка",US,"США",OK,"Оклахома","","","",650,America/Chicago,0
4558665,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",504,America/New_York,0
4560577,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",566,America/New_York,0
4561041,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",511,America/New_York,0
4562078,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",508,America/New_York,0
4568451,ru,NA,"Северная Америка",PR,"Пуэрто-Рико","","","","","","",America/Puerto_Rico,0
4584269,ru,NA,"Северная Америка",US,"США",SC,"Южная Каролина","","","",567,America/New_York,0
4677392,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",641,America/Chicago,0
4682066,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","Клифтон",623,America/Chicago,0
4682464,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","Колледж-Стейшен",625,America/Chicago,0
4685892,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","Денисон",657,America/Chicago,0
4693150,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",625,America/Chicago,0
4704628,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",618,America/Chicago,0
4709710,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",662,America/Chicago,0
4727557,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",612,America/Chicago,0
4735629,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",641,America/Chicago,0
4736963,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",657,America/Chicago,0
4739226,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",692,America/Chicago,0
4757960,ru,NA,"Северная Америка",US,"США",VA,"Вирджиния","","","Юинг",557,America/New_York,0
4771014,ru,NA,"Северная Америка",US,"США",VA,"Вирджиния","","","",511,America/New_York,0
4780126,ru,NA,"Северная Америка",US,"США",VA,"Вирджиния","","","",531,America/New_York,0
4797458,ru,NA,"Северная Америка",US,"США",WV,"Западная Виргиния","","","",564,America/New_York,0
4807507,ru,NA,"Северная Америка",US,"США",WV,"Западная Виргиния","","","",573,America/New_York,0
4820129,ru,NA,"Северная Америка",US,"США",WV,"Западная Виргиния","","","",598,America/New_York,0
4829224,ru,NA,"Северная Америка",US,"США",TX,"Техас","","","",625,America/Chicago,0
4848022,ru,NA,"Северная Америка",US,"США",IA,"Айова","","","Бедфорд",679,America/Chicago,0
4848489,ru,NA,"Северная Америка",US,"США",IA,"Айова","","","",682,America/Chicago,0
